name,lat,lng,line
合肥南站,31.804839,117.297104,1
塘西河公园,31.731478,117.302602,1
合肥火车站,31.889139,117.322075,1
高王,31.773132,117.291479,1
紫庐,31.746435,117.309353,1
大东门,31.869903,117.307712,1
包公园,31.862032,117.308053,1
云谷路,31.718816,117.308308,1
金斗公园,31.728848,117.309402,1
望湖城,31.811409,117.298685,1
万达城,31.711471,117.308773,1
秋浦河路,31.82869,117.308575,1
葛大店,31.820089,117.309851,1
合工大南区,31.85282,117.307202,1
朱岗,31.837611,117.308312,1
滨湖会展中心,31.760239,117.309517,1
长淮,31.881251,117.315762,1
明光路,31.875643,117.311239,1
九联圩,31.697136,117.292773,1
万年埠,31.704149,117.308796,1
骆岗,31.789183,117.298064,1
南站南广场,31.798099,117.298145,1
丙子铺,31.697148,117.304177,1
兴华苑,31.909302,117.320185,1
AED(合肥南站),31.806221,117.296843,1
三十埠,31.874906,117.40403,2
振兴路,31.851068,117.151862,2
大东门,31.869903,117.307712,2
四牌楼,31.867268,117.296076,2
三里庵,31.860793,117.262084,2
西七里塘,31.858788,117.23737,2
汽车西站,31.857176,117.142735,2
科学大道,31.861923,117.215317,2
南岗,31.857095,117.121898,2
大蜀山,31.857825,117.192887,2
五里墩,31.85751,117.247881,2
三里街,31.873325,117.320373,2
龙岗,31.874675,117.382974,2
安农大,31.864114,117.271639,2
漕冲,31.874319,117.358123,2
十里庙,31.861258,117.229429,2
东七里,31.874261,117.344705,2
天柱路,31.859979,117.205026,2
东二十埠,31.874627,117.37346,2
蜀山西,31.857089,117.175176,2
王岗,31.874808,117.396266,2
东五里井,31.873615,117.330919,2
桂庄,31.857225,117.133145,2
撮镇,31.828503,117.498513,2
祥和,31.879742,117.436574,2
三十埠,31.874905,117.40403,2
马桥,31.851257,117.49875,2
和睦湖,31.858174,117.498205,2
桂王,31.880833,117.448521,2
店埠河,31.88134,117.477995,2
排头,31.877303,117.487076,2
南沙河,31.840002,117.498648,2
对河,31.878806,117.461924,2
合肥火车站,31.889139,117.322075,3
市政务中心,31.821762,117.231903,3
郑河,31.886748,117.267969,3
省博物院,31.806983,117.222161,3
幸福坝,31.756843,117.187458,3
洪岗,31.838625,117.237941,3
一里井,31.892875,117.293938,3
工大翡翠湖校区,31.7714,117.211804,3
合肥大剧院,31.820602,117.230369,3
合肥西站,31.876505,117.242499,3
大学城北,31.781081,117.216378,3
职教城东,31.931029,117.403964,3
幼儿师范,31.927405,117.378878,3
繁华大道,31.787273,117.216365,3
职教城,31.931249,117.389711,3
鸭林冲,31.893847,117.314173,3
淮南路,31.892914,117.302901,3
竹丝滩,31.89112,117.33773,3
图书馆,31.81502,117.222746,3
西七里塘,31.858788,117.23737,3
勤劳村,31.903739,117.367884,3
方庙,31.891559,117.348677,3
安大磬苑校区,31.765284,117.199175,3
四泉桥,31.892826,117.263092,3
海棠,31.893011,117.284978,3
国防科技大学,31.847242,117.237712,3
安医大二附院,31.796266,117.216502,3
杏花村,31.886898,117.25197,3
南新庄,31.867929,117.23708,3
肥西人民医院,31.747603,117.175282,3
窦桥湾,31.891307,117.358623,3
相城路,31.930819,117.414468,3
新海大道,31.896886,117.365495,3
文浍苑,31.916093,117.374888,3
幸福坝,31.756843,117.187458,3
凉亭,31.729952,117.169415,3
李湾,31.724704,117.163175,3
芮祠,31.706524,117.172996,3
北张,31.693039,117.182339,3
馆驿,31.684796,117.169127,3
乐平,31.70011,117.182362,3
天鹅湖,31.814412,117.234097,4
量子科学中心,31.830156,117.115341,4
